pop_id,country_code,year,fertility_rate,life_expectancy
20,ABW,2010,1.704,74.95353659
19,ABW,2015,1.647,75.57358537
2,AFG,2010,5.746,58.97082927
1,AFG,2015,4.653,60.71717073
12,AGO,2010,6.416,50.65417073
11,AGO,2015,5.996,52.66609756
4,ALB,2010,1.663,77.03695122
3,ALB,2015,1.793,78.01446341
10,AND,2010,1.27,
9,AND,2015,,
409,ARE,2010,1.868,76.6752439
408,ARE,2015,1.767,77.5412439
16,ARG,2010,2.37,75.48497561
15,ARG,2015,2.308,76.33421951
18,ARM,2010,1.648,74.22634146
17,ARM,2015,1.517,74.79712195
8,ASM,2010,,
7,ASM,2015,,
14,ATG,2010,2.13,75.30878049
13,ATG,2015,2.063,76.10021951
22,AUS,2010,1.928,81.69512195
21,AUS,2015,1.833,82.45121951
24,AUT,2010,1.44,80.5804878
23,AUT,2015,1.47,81.84390244
26,AZE,2010,1.92,70.45131707
25,AZE,2015,1.97,70.84878049
64,BDI,2010,6.302,54.82919512
63,BDI,2015,5.863,57.10704878
38,BEL,2010,1.86,80.18292683
37,BEL,2015,1.74,81.28780488
42,BEN,2010,5.094,58.72970732
41,BEN,2015,4.688,59.72070732
62,BFA,2010,5.867,57.05139024
61,BFA,2015,5.437,58.93129268
32,BGD,2010,2.332,70.08029268
31,BGD,2015,2.144,72.00119512
60,BGR,2010,1.57,73.51219512
59,BGR,2015,1.53,74.46585366
30,BHR,2010,2.142,76.12756098
29,BHR,2015,2.035,76.81909756
28,BHS,2010,1.904,74.59239024
27,BHS,2015,1.861,75.39682927
50,BIH,2010,1.288,75.80768293
49,BIH,2015,1.253,76.58858537
36,BLR,2010,1.494,70.40487805
35,BLR,2015,1.724,73.62439024
40,BLZ,2010,2.714,69.78204878
39,BLZ,2015,2.546,70.19236585
44,BMU,2010,1.76,79.28853659
43,BMU,2015,1.62,81.01219512
48,BOL,2010,3.2,66.4077561
47,BOL,2015,2.923,68.73960976
54,BRA,2010,1.838,73.26414634
53,BRA,2015,1.778,74.67587805
34,BRB,2010,1.781,74.84529268
33,BRB,2015,1.796,75.65843902
58,BRN,2010,1.953,77.59826829
57,BRN,2015,1.856,79.04082927
46,BTN,2010,2.331,67.89241463
45,BTN,2015,1.984,69.83285366
52,BWA,2010,2.893,63.40229268
51,BWA,2015,2.799,64.48741463
76,CAF,2010,4.624,47.62531707
75,CAF,2015,4.206,51.41912195
72,CAN,2010,1.6269,81.19756098
71,CAN,2015,1.6,82.13763415
377,CHE,2010,1.52,82.24634146
376,CHE,2015,1.54,83.19756098
80,CHI,2010,1.436,80.01036585
79,CHI,2015,1.473,80.75168293
82,CHL,2010,1.824,80.27580488
81,CHL,2015,1.749,81.78756098
84,CHN,2010,1.539,75.00741463
83,CHN,2015,1.569,75.98634146
96,CIV,2010,5.231,50.15146341
95,CIV,2015,4.937,51.9197561
70,CMR,2010,5.017,53.69482927
69,CMR,2015,4.63,55.93439024
90,COD,2010,6.386,56.89614634
89,COD,2015,5.908,59.02390244
92,COG,2010,5.02,59.14312195
91,COG,2015,4.811,62.86765854
86,COL,2010,2.01,73.27785366
85,COL,2015,1.875,74.18202439
88,COM,2010,4.755,61.8305122
87,COM,2015,4.418,63.55402439
66,CPV,2010,2.464,72.59790244
65,CPV,2015,2.268,73.35563415
94,CRI,2010,1.922,78.73604878
93,CRI,2015,1.8,79.58646341
100,CUB,2010,1.635,78.93563415
99,CUB,2015,1.606,79.54641463
102,CUW,2010,2.2,
101,CUW,2015,1.9,
74,CYM,2010,,
73,CYM,2015,,
104,CYP,2010,1.481,79.38195122
103,CYP,2015,1.438,80.30709756
106,CZE,2010,1.51,77.42439024
105,CZE,2015,1.53,79.47317073
145,DEU,2010,1.39,79.98780488
144,DEU,2015,1.5,81.0902439
110,DJI,2010,3.484,60.36068293
109,DJI,2015,3.131,62.28565854
112,DMA,2010,,
111,DMA,2015,,
108,DNK,2010,1.87,79.1
107,DNK,2015,1.69,81.1
114,DOM,2010,2.597,72.74980488
113,DOM,2015,2.451,73.67668293
6,DZA,2010,2.873,73.80404878
5,DZA,2015,2.805,75.04253659
116,ECU,2010,2.656,75.02980488
115,ECU,2015,2.513,76.10292683
118,EGY,2010,3.184,70.34029268
117,EGY,2015,3.314,71.31695122
123,ERI,2010,4.605,61.46614634
434,ERI,2015,4.207,64.10090244
357,ESP,2010,1.37,81.62682927
356,ESP,2015,1.32,83.3804878
125,EST,2010,1.72,75.42926829
124,EST,2015,1.54,77.13170732
127,ETH,2010,4.903,61.29612195
126,ETH,2015,4.275,64.57804878
133,FIN,2010,1.87,79.87073171
132,FIN,2015,1.71,81.38536585
131,FJI,2010,2.669,69.38436585
130,FJI,2015,2.54,70.25626829
135,FRA,2010,2.03,81.66341463
134,FRA,2015,2.01,82.67073171
129,FRO,2010,2.5,80.63902439
128,FRO,2015,2.4,81.63414634
257,FSM,2010,3.46,68.61226829
256,FSM,2015,3.193,69.2342439
139,GAB,2010,4.083,62.12082927
138,GAB,2015,3.849,64.89034146
411,GBR,2010,1.92,80.40243902
410,GBR,2015,1.81,81.60487805
143,GEO,2010,1.82,74.00243902
142,GEO,2015,1.815,74.81741463
147,GHA,2010,4.272,60.60997561
146,GHA,2015,4.117,61.49173171
149,GIB,2010,,
148,GIB,2015,,
161,GIN,2010,5.337,56.30504878
160,GIN,2015,4.932,59.19343902
141,GMB,2010,5.796,59.34060976
140,GMB,2015,5.674,60.46768293
163,GNB,2010,5.091,53.81436585
162,GNB,2015,4.761,55.46731707
122,GNQ,2010,5.176,55.971
121,GNQ,2015,4.745,57.96341463
151,GRC,2010,1.48,80.38780488
150,GRC,2015,1.3,81.58780488
155,GRD,2010,2.24,72.5675122
154,GRD,2015,2.127,73.523
153,GRL,2010,2.195,70.85707317
152,GRL,2015,2,
159,GTM,2010,3.434,70.77546341
158,GTM,2015,3.159,71.9564878
157,GUM,2010,2.472,78.10087805
156,GUM,2015,2.366,79.379
165,GUY,2010,2.68,66.04270732
164,GUY,2015,2.532,66.5075122
171,HKG,2010,1.127,82.97804878
170,HKG,2015,1.195,84.27804878
169,HND,2010,2.695,72.39397561
168,HND,2015,2.332,73.33312195
98,HRV,2010,1.55,76.47560976
97,HRV,2015,1.46,77.27560976
167,HTI,2010,3.325,61.24012195
166,HTI,2015,2.973,63.0737561
173,HUN,2010,1.25,74.20731707
172,HUN,2015,1.44,75.96097561
179,IDN,2010,2.513,68.14719512
178,IDN,2015,2.437,69.07168293
187,IMN,2010,,
186,IMN,2015,,
177,IND,2010,2.622,66.50614634
176,IND,2015,2.395,68.34856098
185,IRL,2010,2.05,80.74390244
184,IRL,2015,1.94,81.50243902
181,IRN,2010,1.765,73.98317073
180,IRN,2015,1.685,75.59134146
183,IRQ,2010,4.659,68.49012195
182,IRQ,2015,4.515,69.59026829
175,ISL,2010,2.2,81.89756098
174,ISL,2015,1.93,82.86097561
189,ISR,2010,3.03,81.60243902
188,ISR,2015,3.09,82.05121951
191,ITA,2010,1.46,82.03658537
190,ITA,2015,1.37,83.4902439
193,JAM,2010,2.174,74.8474878
192,JAM,2015,2.025,75.79817073
197,JOR,2010,3.553,73.43582927
196,JOR,2015,3.366,74.20334146
195,JPN,2010,1.39,82.84268293
194,JPN,2015,1.46,83.84365854
199,KAZ,2010,2.6,68.29536585
198,KAZ,2015,2.73,72
201,KEN,2010,4.629,58.71860976
200,KEN,2015,4.263,62.13373171
213,KGZ,2010,3.1,69.3
212,KGZ,2015,3.2,70.65121951
68,KHM,2010,2.875,66.38565854
67,KHM,2015,2.595,68.65614634
203,KIR,2010,3.843,65.30278049
202,KIR,2015,3.69,66.14785366
361,KNA,2010,,
360,KNA,2015,,
207,KOR,2010,1.226,80.55121951
206,KOR,2015,1.239,82.15585366
211,KWT,2010,2.353,74.11663415
210,KWT,2015,2.072,74.69790244
215,LAO,2010,3.293,64.33363415
214,LAO,2015,2.923,66.53987805
219,LBN,2010,1.613,78.46536585
218,LBN,2015,1.722,79.62860976
223,LBR,2010,5.024,59.44129268
222,LBR,2015,4.647,61.16095122
225,LBY,2010,2.603,71.73739024
224,LBY,2015,2.426,71.82631707
363,LCA,2010,1.982,74.47109756
362,LCA,2015,1.869,75.1845122
227,LIE,2010,1.4,81.84146341
226,LIE,2015,1.59,82.07317073
359,LKA,2010,2.203,74.3392439
358,LKA,2015,2.062,74.95319512
221,LSO,2010,3.303,47.48341463
220,LSO,2015,3.142,49.96121951
229,LTU,2010,1.5,73.26829268
228,LTU,2015,1.63,75.1195122
231,LUX,2010,1.63,80.63170732
230,LUX,2015,1.5,82.22926829
217,LVA,2010,1.36,73.48292683
216,LVA,2015,1.64,74.12439024
233,MAC,2010,1.061,79.69039024
232,MAC,2015,1.276,80.76607317
365,MAF,2010,1.82,78.72195122
364,MAF,2015,1.81,79.47073171
267,MAR,2010,2.535,72.57692683
266,MAR,2015,2.486,74.28931707
261,MCO,2010,,
260,MCO,2015,,
259,MDA,2010,1.274,69.70926829
258,MDA,2015,1.248,71.62643902
237,MDG,2010,4.654,63.36173171
236,MDG,2015,4.35,65.48278049
243,MDV,2010,2.209,76.2004878
242,MDV,2015,2.088,76.979
255,MEX,2010,2.356,76.02678049
254,MEX,2015,2.213,76.92068293
249,MHL,2010,,
248,MHL,2015,,
235,MKD,2010,1.471,74.72263415
234,MKD,2015,1.535,75.49534146
245,MLI,2010,6.547,56.17980488
244,MLI,2015,6.143,58.45721951
247,MLT,2010,1.36,81.39756098
246,MLT,2015,1.42,81.94634146
271,MMR,2010,2.386,64.9174878
270,MMR,2015,2.177,66.04207317
265,MNE,2010,1.767,75.04529268
264,MNE,2015,1.676,76.33770732
263,MNG,2010,2.555,67.60382927
262,MNG,2015,2.638,69.82126829
291,MNP,2010,,
290,MNP,2015,,
269,MOZ,2010,5.564,53.22690244
268,MOZ,2015,5.295,55.3712439
251,MRT,2010,4.835,62.00617073
250,MRT,2015,4.543,63.20282927
253,MUS,2010,1.57,72.96731707
252,MUS,2015,1.36,74.35317073
239,MWI,2010,5.531,56.8362439
238,MWI,2015,5.048,63.79685366
241,MYS,2010,1.998,74.15778049
240,MYS,2015,1.931,74.87517073
273,NAM,2010,3.605,62.48029268
272,NAM,2015,3.473,64.91543902
281,NCL,2010,2.17,77.47317073
280,NCL,2015,2.22,77.77317073
287,NER,2010,7.667,58.259
286,NER,2015,7.567,61.96902439
289,NGA,2010,5.84,51.3295122
288,NGA,2015,5.587,53.04887805
285,NIC,2010,2.428,73.58173171
284,NIC,2015,2.231,75.09812195
279,NLD,2010,1.79,80.70243902
278,NLD,2015,1.71,81.70731707
293,NOR,2010,1.95,80.99756098
292,NOR,2015,1.75,82.1
277,NPL,2010,2.606,67.9714878
276,NPL,2015,2.167,69.97334146
275,NRU,2010,,
274,NRU,2015,,
283,NZL,2010,2.17,80.70243902
282,NZL,2015,1.99,81.45682927
295,OMN,2010,2.888,76.05280488
294,OMN,2015,2.712,77.32419512
297,PAK,2010,3.855,65.16256098
296,PAK,2015,3.55,66.37697561
301,PAN,2010,2.513,76.86363415
300,PAN,2015,2.421,77.76729268
307,PER,2010,2.545,73.63980488
306,PER,2015,2.427,74.78073171
309,PHL,2010,3.133,67.78331707
308,PHL,2015,2.944,68.4067561
299,PLW,2010,,
298,PLW,2015,2.21,
303,PNG,2010,3.985,61.99482927
302,PNG,2015,3.705,62.77668293
311,POL,2010,1.41,76.24634146
310,POL,2015,1.32,78.20487805
315,PRI,2010,1.6235,78.41163415
314,PRI,2015,1.432,79.57231707
205,PRK,2010,2.003,68.90002439
204,PRK,2015,1.968,70.33792683
313,PRT,2010,1.39,79.02682927
312,PRT,2015,1.23,81.52195122
305,PRY,2010,2.73,72.30129268
304,PRY,2015,2.509,73.02563415
427,PSE,2010,4.433,72.21492683
426,PSE,2015,4.11,73.07419512
137,PYF,2010,2.11,75.69539024
136,PYF,2015,2.027,76.75241463
317,QAT,2010,2.104,77.8255122
316,QAT,2015,2.007,78.76258537
319,ROU,2010,1.59,73.45853659
318,ROU,2015,1.52,74.96097561
321,RUS,2010,1.567,68.84121951
320,RUS,2015,1.75,70.90853659
323,RWA,2010,4.441,61.40178049
322,RWA,2015,3.8,64.52453659
331,SAU,2010,2.987,73.70160976
330,SAU,2015,2.713,74.49334146
369,SDN,2010,4.636,62.04258537
368,SDN,2015,4.286,63.71073171
333,SEN,2010,5.174,64.01443902
332,SEN,2015,5.031,66.80441463
341,SGP,2010,1.15,81.54146341
340,SGP,2015,1.24,82.59512195
349,SLB,2010,4.236,67.06565854
348,SLB,2015,3.904,68.1462439
339,SLE,2010,5.151,48.22895122
338,SLE,2015,4.516,51.30817073
120,SLV,2010,2.078,71.67060976
119,SLV,2015,1.909,73.00109756
327,SMR,2010,,83.15937916
326,SMR,2015,,
351,SOM,2010,6.868,54.02365854
350,SOM,2015,6.364,55.68558537
335,SRB,2010,1.4,74.33658537
334,SRB,2015,1.46,75.48780488
355,SSD,2010,5.376,53.66490244
354,SSD,2015,4.937,56.1115122
329,STP,2010,4.789,65.85468293
328,STP,2015,4.516,66.51370732
371,SUR,2010,2.465,70.36273171
370,SUR,2015,2.336,71.29417073
345,SVK,2010,1.43,75.11219512
344,SVK,2015,1.37,77.21219512
347,SVN,2010,1.57,79.42195122
346,SVN,2015,1.58,81.07804878
375,SWE,2010,1.98,81.45121951
374,SWE,2015,1.88,82.55121951
373,SWZ,2010,3.559,48.3457561
372,SWZ,2015,3.201,48.87395122
343,SXM,2010,,
342,SXM,2015,,
337,SYC,2010,2.1,73.19756098
336,SYC,2015,2.3,73.22926829
379,SYR,2010,3.093,72.30743902
378,SYR,2015,2.903,70.08931707
401,TCA,2010,,
400,TCA,2015,,
78,TCD,2010,6.594,49.86207317
77,TCD,2015,6.05,51.87331707
389,TGO,2010,4.868,57.28156098
388,TGO,2015,4.514,60.1207561
385,THA,2010,1.547,73.69436585
384,THA,2015,1.497,74.60119512
381,TJK,2010,3.514,68.56339024
380,TJK,2015,3.454,69.76843902
399,TKM,2010,2.411,65.0212439
398,TKM,2015,2.275,65.73643902
387,TLS,2010,6.235,67.30839024
386,TLS,2015,5.615,68.52641463
391,TON,2010,3.913,72.18260976
390,TON,2015,3.678,72.94404878
393,TTO,2010,1.806,69.79756098
392,TTO,2015,1.766,70.55770732
395,TUN,2010,2.098,74.61170732
394,TUN,2015,2.132,74.97597561
397,TUR,2010,2.134,74.09092683
396,TUR,2015,2.052,75.42621951
403,TUV,2010,,
402,TUV,2015,,
383,TZA,2010,5.427,61.62560976
382,TZA,2015,5.078,65.4874878
405,UGA,2010,6.154,55.83665854
404,UGA,2015,5.682,59.17907317
407,UKR,2010,1.443,70.26536585
406,UKR,2015,1.506,71.1895122
415,URY,2010,2.078,76.39460976
414,URY,2015,2.007,77.13821951
413,USA,2010,1.931,78.54146341
412,USA,2015,1.843,78.74146341
417,UZB,2010,2.342,67.86129268
416,UZB,2015,2.491,68.45307317
367,VCT,2010,2.07,72.34639024
366,VCT,2015,1.952,73.05236585
421,VEN,2010,2.472,73.67160976
420,VEN,2015,2.34,74.40960976
56,VGB,2010,,
55,VGB,2015,,
425,VIR,2010,1.81,79.17317073
424,VIR,2015,1.74,79.87317073
423,VNM,2010,1.946,74.99036585
422,VNM,2015,1.96,75.77773171
419,VUT,2010,3.499,70.84995122
418,VUT,2015,3.31,72.15736585
325,WSM,2010,4.338,72.417
324,WSM,2015,4.028,73.76487805
209,XKX,2010,2.29,69.9
208,XKX,2015,2.09,71.34634146
429,YEM,2010,4.703,62.76873171
428,YEM,2015,4.043,64.03139024
353,ZAF,2010,2.467,54.3907561
352,ZAF,2015,2.339,57.44090244
431,ZMB,2010,5.687,56.38385366
430,ZMB,2015,5.284,60.78568293
433,ZWE,2010,4.048,49.57465854
432,ZWE,2015,3.856,59.16107317
